2024-10-29T15:56:27.446+0800	ERROR	mysql/mysql.go:24	connect DB failed 	{"error": "dial tcp 127.0.0.1:3306: connectex: No connection could be made because the target machine actively refused it."}
2024-10-29T15:57:24.358+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T15:58:08.313+0800	INFO	logger/logger.go:90	/api/v1/login	{"status": 200, "method": "GET", "path": "/api/v1/login", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0010139}
2024-10-29T15:58:08.672+0800	INFO	logger/logger.go:90	/favicon.ico	{"status": 404, "method": "GET", "path": "/favicon.ico", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-10-29T15:58:16.645+0800	INFO	logger/logger.go:90	/api/v1/post/57393017228627968	{"status": 200, "method": "GET", "path": "/api/v1/post/57393017228627968", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0135673}
2024-10-29T17:18:36.813+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T17:18:43.624+0800	INFO	logger/logger.go:90	/api/v1/post/57393017228627968	{"status": 200, "method": "GET", "path": "/api/v1/post/57393017228627968", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0072633}
2024-10-29T17:18:52.436+0800	ERROR	mysql/post.go:44	获取帖子列表失败GetPostList：	{"error": "must pass a pointer, not a value, to StructScan destination"}
2024-10-29T17:18:52.436+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0014907}
2024-10-29T17:19:52.210+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T17:19:59.317+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0045795}
2024-10-29T17:20:50.791+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=0", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0012136}
2024-10-29T17:21:23.659+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=1&size=10", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0018019}
2024-10-29T17:22:05.463+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=2&size=1", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0016714}
2024-10-29T17:22:17.485+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=2&size=2", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0015515}
2024-10-29T17:22:41.312+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=1&size=10", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0013464}
2024-10-29T17:33:12.266+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T17:33:17.737+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=1&size=10", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0090312}
2024-10-29T17:37:53.224+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T17:38:35.216+0800	INFO	logger/logger.go:90	/api/v1/posts	{"status": 200, "method": "GET", "path": "/api/v1/posts", "query": "page=1&size=10", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0072863}
2024-10-29T18:23:34.913+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T18:23:42.480+0800	INFO	logger/logger.go:90	/api/v1/posts2	{"status": 404, "method": "GET", "path": "/api/v1/posts2", "query": "page=1&order=time", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-10-29T18:23:57.149+0800	INFO	logger/logger.go:90	/api/v1/posts2	{"status": 404, "method": "GET", "path": "/api/v1/posts2", "query": "page=1&order=time", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-10-29T18:24:01.737+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0007825}
2024-10-29T18:24:06.579+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0004929}
2024-10-29T18:25:28.607+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0019596}
2024-10-29T18:25:53.444+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T18:25:59.593+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0035165}
2024-10-29T18:26:21.389+0800	INFO	logger/logger.go:90	/api/v1/login	{"status": 200, "method": "POST", "path": "/api/v1/login", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0044495}
2024-10-29T18:26:21.731+0800	INFO	logger/logger.go:90	/api/v1/posts2	{"status": 404, "method": "GET", "path": "/api/v1/posts2", "query": "page=1&order=time", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-10-29T18:26:23.703+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.000941}
2024-10-29T18:26:53.893+0800	INFO	mysql/mysql.go:29	数据库连接成功
2024-10-29T18:27:02.139+0800	INFO	logger/logger.go:90	/api/v1/posts2	{"status": 200, "method": "GET", "path": "/api/v1/posts2", "query": "page=1&order=time", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.009856}
2024-10-29T18:27:12.787+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0010599}
2024-10-29T18:27:20.408+0800	INFO	logger/logger.go:90	/api/v1/post	{"status": 200, "method": "POST", "path": "/api/v1/post", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0051844}
2024-10-29T18:27:20.670+0800	INFO	logger/logger.go:90	/api/v1/posts2	{"status": 200, "method": "GET", "path": "/api/v1/posts2", "query": "page=1&order=time", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0065829}
2024-10-29T18:27:23.998+0800	INFO	logger/logger.go:90	/api/v1/community	{"status": 200, "method": "GET", "path": "/api/v1/community", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0011525}
2024-10-29T18:27:31.856+0800	INFO	logger/logger.go:90	/api/v1/post	{"status": 200, "method": "POST", "path": "/api/v1/post", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0026111}
2024-10-29T18:27:32.107+0800	INFO	logger/logger.go:90	/api/v1/posts2	{"status": 200, "method": "GET", "path": "/api/v1/posts2", "query": "page=1&order=time", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0037737}
2024-10-29T18:27:44.541+0800	ERROR	mysql/post.go:28	没有此文章	{"文章id:": 57393017228627970}
